Country Code,Region,IncomeGroup,TableName,SpecialNotes
NRU,East Asia & Pacific,High income,Nauru,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
NZL,East Asia & Pacific,High income,New Zealand,Fiscal year end: March 31; reporting period for national accounts data: CY.
OED,,,OECD members,
OMN,Middle East & North Africa,High income,Oman,
OSS,,,Other small states,
PAK,South Asia,Lower middle income,Pakistan,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
PAN,Latin America & Caribbean,High income,Panama,
PER,Latin America & Caribbean,Upper middle income,Peru,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1988-2009. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
PHL,East Asia & Pacific,Lower middle income,Philippines,
PLW,East Asia & Pacific,Upper middle income,Palau,Fiscal year ends on September 30; reporting period for national accounts data: FY.
PNG,East Asia & Pacific,Lower middle income,Papua New Guinea,
POL,Europe & Central Asia,High income,Poland,
PRE,,,Pre-demographic dividend,"Pre-dividend countries are mostly low-income countries, lagging in key human development indicators and with current fertility levels above four births per woman. They face very rapid population growth."
PRI,Latin America & Caribbean,High income,Puerto Rico,Fiscal year end: June 30; reporting period for national accounts data: FY.
PRK,East Asia & Pacific,Low income,"Korea, Dem. People's Rep.",
PRT,Europe & Central Asia,High income,Portugal,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
PRY,Latin America & Caribbean,Upper middle income,Paraguay,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1982-1988. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
PSE,Middle East & North Africa,Lower middle income,West Bank and Gaza,National accounts data are provided in the US dollar.
PSS,,,Pacific island small states,Pacific island small states aggregate.
PST,,,Post-demographic dividend,Post-dividend countries are mostly high-income countries where fertility has transitioned below replacement levels.
PYF,East Asia & Pacific,High income,French Polynesia,
QAT,Middle East & North Africa,High income,Qatar,
ROU,Europe & Central Asia,High income,Romania,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1987-1992. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
RUS,Europe & Central Asia,Upper middle income,Russian Federation,
RWA,Sub-Saharan Africa,Low income,Rwanda,
SAS,,,South Asia,
SAU,Middle East & North Africa,High income,Saudi Arabia,
SDN,Sub-Saharan Africa,Low income,Sudan,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2018-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
SEN,Sub-Saharan Africa,Lower middle income,Senegal,
SGP,East Asia & Pacific,High income,Singapore,Fiscal year end: March 31; reporting period for national accounts data: CY.
SLB,East Asia & Pacific,Lower middle income,Solomon Islands,
SLE,Sub-Saharan Africa,Low income,Sierra Leone,
SLV,Latin America & Caribbean,Lower middle income,El Salvador,
SMR,Europe & Central Asia,High income,San Marino,
SOM,Sub-Saharan Africa,Low income,Somalia,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1977-2017. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
SRB,Europe & Central Asia,Upper middle income,Serbia,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised."
SSA,,,Sub-Saharan Africa (excluding high income),
SSD,Sub-Saharan Africa,Low income,South Sudan,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
SSF,,,Sub-Saharan Africa,Sub-Saharan Africa regional aggregate (includes all income levels).
SST,,,Small states,Small states (members of the Small States Forum) aggregate.
STP,Sub-Saharan Africa,Lower middle income,São Tomé and Principe,National account data were adjusted to reflect the new banknote (1 new Dobra STN = 1000 old Dobra STD)
SUR,Latin America & Caribbean,Upper middle income,Suriname,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1989-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
SVK,Europe & Central Asia,High income,Slovak Republic,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
SVN,Europe & Central Asia,High income,Slovenia,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
SWE,Europe & Central Asia,High income,Sweden,Fiscal year end: June 30; reporting period for national accounts data: CY.
SWZ,Sub-Saharan Africa,Lower middle income,Eswatini,Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.
SXM,Latin America & Caribbean,High income,Sint Maarten (Dutch part),
SYC,Sub-Saharan Africa,High income,Seychelles,
SYR,Middle East & North Africa,Low income,Syrian Arab Republic,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2011-2017. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
TCA,Latin America & Caribbean,High income,Turks and Caicos Islands,
TCD,Sub-Saharan Africa,Low income,Chad,
TEA,,,East Asia & Pacific (IDA & IBRD),East Asia & Pacific (IDA & IBRD countries) aggregate.
TEC,,,Europe & Central Asia (IDA & IBRD),Europe & Central Asia (IDA & IBRD countries) aggregate.
TGO,Sub-Saharan Africa,Low income,Togo,
THA,East Asia & Pacific,Upper middle income,Thailand,Fiscal year end: September 30; reporting period for national accounts data: CY.
TJK,Europe & Central Asia,Lower middle income,Tajikistan,
TKM,Europe & Central Asia,Upper middle income,Turkmenistan,
TLA,,,Latin America & Caribbean (IDA & IBRD),Latin America & the Caribbean (IDA & IBRD countries) aggregate.
TLS,East Asia & Pacific,Lower middle income,Timor-Leste,
TMN,,,Middle East & North Africa (IDA & IBRD),Middle East & North Africa (IDA & IBRD countries) aggregate.
TON,East Asia & Pacific,Upper middle income,Tonga,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
TSA,,,South Asia (IDA & IBRD),South Asia (IDA & IBRD countries) aggregate.
TSS,,,Sub-Saharan Africa (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries) aggregate.
TTO,Latin America & Caribbean,High income,Trinidad and Tobago,
TUN,Middle East & North Africa,Lower middle income,Tunisia,
TUR,Europe & Central Asia,Upper middle income,Türkiye,
TUV,East Asia & Pacific,Upper middle income,Tuvalu,
TZA,Sub-Saharan Africa,Lower middle income,Tanzania,
UGA,Sub-Saharan Africa,Low income,Uganda,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 	

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1960-2009. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
UKR,Europe & Central Asia,Lower middle income,Ukraine,
UMC,,,Upper middle income,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2021 GNI per capita was between $4,256 and $13,205."
URY,Latin America & Caribbean,High income,Uruguay,
USA,North America,High income,United States,
UZB,Europe & Central Asia,Lower middle income,Uzbekistan,
VCT,Latin America & Caribbean,Upper middle income,St. Vincent and the Grenadines,
VEN,Latin America & Caribbean,,"Venezuela, RB",
VGB,Latin America & Caribbean,High income,British Virgin Islands,
VIR,Latin America & Caribbean,High income,Virgin Islands (U.S.),
VNM,East Asia & Pacific,Lower middle income,Vietnam,
VUT,East Asia & Pacific,Lower middle income,Vanuatu,
WLD,,,World,World aggregate.
WSM,East Asia & Pacific,Lower middle income,Samoa,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
XKX,Europe & Central Asia,Upper middle income,Kosovo,
YEM,Middle East & North Africa,Low income,"Yemen, Rep.","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1990-2019. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
ZAF,Sub-Saharan Africa,Upper middle income,South Africa,Fiscal year end: March 31; reporting period for national accounts data: CY.
ZMB,Sub-Saharan Africa,Low income,Zambia,"National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha."
ZWE,Sub-Saharan Africa,Lower middle income,Zimbabwe,"National Accounts data are reported in Zimbabwean Dollar (ZWL). Before 2017, one ZWL is set to be equal to one USD.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2017-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
